variant,normalized
r&b,Rhythm Blues
r b,Rhythm Blues
randb,Rhythm Blues
r and b,Rhythm Blues
singer/songwriter,Singer Songwriter
rock and roll,Rock & Roll
rock&roll,Rock & Roll
rock & roll,Rock & Roll
singer songwriter,Singer-Songwriter
rnb,Rhythm Blues
hiphop,Hip Hop
hip-hop,Hip Hop
hip hop,Hip Hop
lofi,Lo-Fi
lo-fi,Lo-Fi
lo fi,Lo-Fi
edm,Electronic
elektro,Electronic
electro,Electronic
electro house,Electro House
electrohouse,Electro House
tech house,Tech House
techhouse,Tech House
deep house,Deep House
deephouse,Deep House
house music,House
house,House
trance music,Trance
goa,Trance
goa trance,Trance
psy,Trance
psy trance,Trance
psytrance,Trance
prog house,Progressive House
progressive house,Progressive House
prog,Progressive
progressive rock,Progressive Rock
prog rock,Progressive Rock
hard rock,Hard Rock
hardrock,Hard Rock
soft rock,Soft Rock
synthpop,Synthpop
synth pop,Synthpop
synth-pop,Synthpop
indie rock,Indie Rock
indie-rock,Indie Rock
indierock,Indie Rock
alt rock,Alternative Rock
alternative rock,Alternative Rock
alt,Alternative
metalcore,Metalcore
deathmetal,Death Metal
death metal,Death Metal
blackmetal,Black Metal
black metal,Black Metal
rap,Rap
rap music,Rap
boom bap,Boom Bap
boombap,Boom Bap
jpop,J-Pop
j pop,J-Pop
j-pop,J-Pop
kpop,K-Pop
k pop,K-Pop
k-pop,K-Pop
rythm and blues,Rhythm & Blues
r&b music,Rhythm & Blues
rnb music,Rhythm & Blues
r&b pop,Rhythm & Blues
prog rock,Progressive Rock

